"ID";"Linha_Original";"Municipio";"Cod_Municipio";"POP_TOT";"POP_URB";"Ano_Ref";"Cod_Prestador";"Prestador";"Tipo_Serv";"Nat_Jur";"AG001";"ES001";"FN001";"FN002";"FN003";"FN006";"FN007";"FN023";"FN024";"FN038";"Deflator_PIB_Acum"
21;TRUE;"Acegua";"430003";4036;964;2003;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,46160589729653
20;TRUE;"Acegua";"430003";4109;981;2004;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";NA;NA;152699,73;152699,73;NA;145815,8;NA;NA;NA;NA;3,21256584135204
19;TRUE;"Acegua";"430003";4149;991;2005;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,9903464739217
18;TRUE;"Acegua";"430003";4188;1000;2006;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1134;NA;174276,8;174276,8;NA;193808,32;NA;1591,38;NA;NA;2,80062449367622
17;TRUE;"Acegua";"430003";4138;988;2007;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1124;NA;178576,85;178576,85;NA;184375,67;NA;1066,25;NA;NA;2,63120049181058
16;TRUE;"Acegua";"430003";4312;1030;2008;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1244;NA;222586,77;222586,77;NA;228514,25;NA;2685,41;NA;NA;2,41885962441053
15;TRUE;"Acegua";"430003";4347;1038;2009;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1284;NA;235084,92;235084,92;NA;NA;NA;2333,91;NA;NA;2,25401278806291
14;TRUE;"Acegua";"430003";4394;1059;2010;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1224;NA;249568,95;249568,95;NA;259633,51;NA;2960,56;NA;NA;2,07890000682123
13;TRUE;"Acegua";"430003";4430;1068;2011;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1064;NA;269415,2;269415,2;NA;275668,95;NA;NA;NA;NA;1,91924577695589
12;TRUE;"Acegua";"430003";4465;1076;2012;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1069;NA;312374,79;312374,79;NA;399945,55;NA;19365,45;NA;NA;1,77801573043844
11;TRUE;"Acegua";"430003";4638;1118;2013;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1444;NA;357525,93;357525,93;NA;367224,53;NA;NA;NA;NA;1,65389789557186
10;TRUE;"Acegua";"430003";4671;1126;2014;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1488;NA;444046,54;444046,54;NA;450548,75;NA;NA;NA;NA;1,5335636103439
9;TRUE;"Acegua";"430003";4702;1133;2015;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1565;NA;455799,89;455799,89;NA;470837,99;NA;NA;NA;NA;1,4256931699566
8;TRUE;"Acegua";"430003";4731;1140;2016;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1146;NA;560949,55;560949,55;NA;563503,16;NA;12001,45;NA;NA;1,31882112389926
7;TRUE;"Acegua";"430003";4731;1140;2016;"43000311";"Prefeitura Municipal de Acegua";"Esgoto";"Administracao publica direta";NA;1140;NA;NA;NA;NA;NA;NA;NA;NA;1,31882112389926
6;TRUE;"Acegua";"430003";4759;1147;2017;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1153;NA;626129,59;626129,59;NA;629782,96;NA;45334,02;NA;NA;1,27211682384148
4;TRUE;"Acegua";"430003";4858;1171;2018;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1177;NA;659158,88;659158,88;NA;685539,49;NA;3497,04;446983,8;NA;1,21741199776024
5;TRUE;"Acegua";"430003";4858;1171;2018;"43000311";"Prefeitura Municipal de Acegua";"Esgoto";"Administracao publica direta";NA;580;NA;NA;NA;NA;NA;NA;NA;NA;1,21741199776024
2;TRUE;"Acegua";"430003";4901;1181;2019;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1187;NA;713951,91;713951,91;NA;729790,4;NA;6610;2961729,42;NA;1,16806970945097
3;TRUE;"Acegua";"430003";4901;1181;2019;"43000311";"Prefeitura Municipal de Acegua";"Esgoto";"Administracao publica direta";NA;640;NA;NA;NA;NA;NA;NA;NA;NA;1,16806970945097
1;TRUE;"Acegua";"430003";4942;1191;2020;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1197;NA;800641,21;800641,21;NA;819757,35;NA;9727,87;698828,09;NA;1,1109637043
