"ID";"Linha_Original";"Municipio";"Cod_Municipio";"POP_TOT";"POP_URB";"Ano_Ref";"Cod_Prestador";"Prestador";"Tipo_Serv";"Nat_Jur";"AG001";"ES001";"FN001";"FN002";"FN003";"FN006";"FN007";"FN023";"FN024";"FN038";"Deflator_PIB_Acum"
233;TRUE;"Alvorada";"430060";162005;161885;1996;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";160000;29577;7506866,76;7113576,81;393289,95;7421477,22;NA;201550,82;14801,43;NA;6,05084233246111
232;TRUE;"Alvorada";"430060";166982;166858;1997;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";167687;31;8676120;8142511;533609;8722612;NA;11980169;NA;NA;5,61672438951993
231;TRUE;"Alvorada";"430060";171350;171223;1998;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";177313;31909;NA;7937501;587423;9489078;NA;6253119;92449;NA;5,35311752634561
230;TRUE;"Alvorada";"430060";175574;175444;1999;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";175501;131842;NA;9951470,65;637373,15;9993655,62;NA;8330807,82;NA;NA;4,95610841805244
229;TRUE;"Alvorada";"430060";183968;183365;2000;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";184666;33353;NA;10998076,5;807445,19;11205594,34;NA;289710,45;2021,98;NA;4,69301494272335
228;TRUE;"Alvorada";"430060";188756;188137;2001;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";191885;NA;7618544,92;6852975;765569,92;12579095,3;NA;1045486,59;NA;NA;4,3363463643843
227;TRUE;"Alvorada";"430060";192789;192157;2002;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";194479;33820;13932761,48;13034256,65;898504,83;14462199,76;NA;198521,63;NA;NA;3,94938152956833
226;TRUE;"Alvorada";"430060";196882;196237;2003;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";198705;35265;16955674,05;15865771,61;1089902,44;16651246,62;NA;72988,77;NA;NA;3,46160589729653
225;TRUE;"Alvorada";"430060";205476;204803;2004;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";201379;36195;18180754,93;17022705,27;1158049,66;19509091,73;NA;13071,16;NA;NA;3,21256584135204
224;TRUE;"Alvorada";"430060";210233;209544;2005;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";203842;36330;20623130,46;19575026,46;1048104;21629500,88;NA;3228909,71;7332,79;NA;2,9903464739217
223;TRUE;"Alvorada";"430060";214953;214248;2006;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";171302;31137;23899708,61;22596299,1;1303409,51;24879737,04;NA;3837835,85;33294,44;NA;2,80062449367622
222;TRUE;"Alvorada";"430060";207142;206463;2007;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";173636;31760;27311591,27;25803927,56;1507663,71;28529095,87;NA;458238,46;1572,88;NA;2,63120049181058
221;TRUE;"Alvorada";"430060";211276;210583;2008;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";176258;32698;31135496,56;29397317,61;1738178,95;32784859,57;NA;430551,87;223537,85;NA;2,41885962441053
220;TRUE;"Alvorada";"430060";213894;213193;2009;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";177605;32792;34456696,24;32445077,67;2011618,57;NA;NA;349965,36;27545600,82;NA;2,25401278806291
219;TRUE;"Alvorada";"430060";195673;195673;2010;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";179572;33456;37020932,66;34955030,06;2065902,6;39389318,42;NA;1075732,49;25581469,6;NA;2,07890000682123
218;TRUE;"Alvorada";"430060";196572;196572;2011;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";196572;34397;41477849,96;39153676,37;2324173,59;42397540,37;NA;2093579,96;6680030,21;NA;1,91924577695589
217;TRUE;"Alvorada";"430060";197441;197441;2012;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";187096;35719;46522385,57;43439840,04;3082545,53;47671559,86;NA;1721376,13;5606152,62;NA;1,77801573043844
216;TRUE;"Alvorada";"430060";204750;204750;2013;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";191203;37084;49684951;46322613,03;3362337,97;50895553,69;NA;NA;18347979,22;NA;1,65389789557186
215;TRUE;"Alvorada";"430060";205683;205683;2014;"43149000";"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";197599;38497;67688356,12;63946375,1;3741981,02;55949504,27;NA;3884573,62;10665553,79;NA;1,5335636103439
