"ID";"Linha_Original";"Municipio";"Cod_Municipio";"POP_TOT";"POP_URB";"Ano_Ref";"Cod_Prestador";"Prestador";"Tipo_Serv";"Nat_Jur";"AG001";"ES001";"Vol_agua_tratada";"ES006";"FN001";"FN002";"FN003";"FN006";"FN007";"FN023";"FN024";"FN038";"Deflator_PIB_Acum"
21;TRUE;"Aceguá";"430003";4036;964;10;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20;TRUE;"Aceguá";"430003";4109;981;11;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";NA;NA;NA;NA;152699,73;152699,73;NA;145815,8;NA;NA;NA;NA;NA
19;TRUE;"Aceguá";"430003";4149;991;12;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
18;TRUE;"Aceguá";"430003";4188;1000;13;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";1134;NA;NA;NA;174276,8;174276,8;NA;193808,32;NA;1591,38;NA;NA;NA
17;TRUE;"Aceguá";"430003";4138;988;14;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";1124;NA;NA;NA;178576,85;178576,85;NA;184375,67;NA;1066,25;NA;NA;NA
16;TRUE;"Aceguá";"430003";4312;1030;15;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";1244;NA;NA;NA;222586,77;222586,77;NA;228514,25;NA;2685,41;NA;NA;NA
15;TRUE;"Aceguá";"430003";4347;1038;16;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";1284;NA;NA;NA;235084,92;235084,92;NA;NA;NA;2333,91;NA;NA;NA
14;TRUE;"Aceguá";"430003";4394;1059;17;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";1224;NA;NA;NA;249568,95;249568,95;NA;259633,51;NA;2960,56;NA;NA;NA
13;TRUE;"Aceguá";"430003";4430;1068;18;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";1064;NA;NA;NA;269415,2;269415,2;NA;275668,95;NA;NA;NA;NA;NA
12;TRUE;"Aceguá";"430003";4465;1076;19;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";1069;NA;NA;NA;312374,79;312374,79;NA;399945,55;NA;19365,45;NA;NA;NA
11;TRUE;"Aceguá";"430003";4638;1118;20;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";1444;NA;NA;NA;357525,93;357525,93;NA;367224,53;NA;NA;NA;NA;NA
10;TRUE;"Aceguá";"430003";4671;1126;21;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";1488;NA;NA;NA;444046,54;444046,54;NA;450548,75;NA;NA;NA;NA;NA
9;TRUE;"Aceguá";"430003";4702;1133;22;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";1565;NA;NA;NA;455799,89;455799,89;NA;470837,99;NA;NA;NA;NA;NA
7;TRUE;"Aceguá";"430003";4731;1140;23;"43000311";"Prefeitura Municipal de Aceguá";"Esgoto";"Administração pública direta";NA;1140;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;TRUE;"Aceguá";"430003";4731;1140;23;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";1146;NA;NA;NA;560949,55;560949,55;NA;563503,16;NA;12001,45;NA;NA;NA
6;TRUE;"Aceguá";"430003";4759;1147;24;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";1153;NA;NA;NA;626129,59;626129,59;NA;629782,96;NA;45334,02;NA;NA;NA
5;TRUE;"Aceguá";"430003";4858;1171;25;"43000311";"Prefeitura Municipal de Aceguá";"Esgoto";"Administração pública direta";NA;580;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;TRUE;"Aceguá";"430003";4858;1171;25;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";1177;NA;NA;NA;659158,88;659158,88;NA;685539,49;NA;3497,04;446983,8;NA;NA
3;TRUE;"Aceguá";"430003";4901;1181;26;"43000311";"Prefeitura Municipal de Aceguá";"Esgoto";"Administração pública direta";NA;640;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;TRUE;"Aceguá";"430003";4901;1181;26;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";1187;NA;NA;NA;713951,91;713951,91;NA;729790,4;NA;6610;2961729,42;NA;NA
1;TRUE;"Aceguá";"430003";4942;1191;27;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";1197;NA;NA;NA;800641,21;800641,21;NA;819757,35;NA;9727,87;698828,09;NA;NA
45;TRUE;"Água Santa";"430005";4392;1170;5;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
44;TRUE;"Água Santa";"430005";4480;1194;6;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
43;TRUE;"Água Santa";"430005";4127;1172;7;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;TRUE;"Água Santa";"430005";3826;1087;8;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
41;TRUE;"Água Santa";"430005";3852;1094;9;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
40;TRUE;"Água Santa";"430005";3880;1102;10;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
39;TRUE;"Água Santa";"430005";3940;1119;11;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
38;TRUE;"Água Santa";"430005";3973;1128;12;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
37;TRUE;"Água Santa";"430005";4006;1138;13;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";1075;NA;NA;NA;187002,76;187002,76;NA;205834,73;NA;7554,56;NA;NA;NA
36;TRUE;"Água Santa";"430005";3565;1242;14;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";1149;NA;NA;NA;202109,4;202109,4;NA;204948,46;NA;10186,99;NA;NA;NA
35;TRUE;"Água Santa";"430005";3638;1267;15;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";1204;NA;NA;NA;231108,81;231108,81;NA;240132,29;NA;NA;NA;NA;NA
34;TRUE;"Água Santa";"430005";3619;1261;16;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";1323;NA;NA;NA;250918,77;250918,77;NA;NA;NA;NA;NA;NA;NA
33;TRUE;"Água Santa";"430005";3722;1447;17;"43000511";"Prefeitura Municipal de Água Santa";"Esgoto";"Administração pública direta";NA;1447;NA;NA;950;NA;950;950;NA;NA;NA;NA;NA
32;TRUE;"Água Santa";"430005";3722;1447;17;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";1260;NA;NA;NA;266138,26;266138,26;NA;274630,07;NA;NA;NA;NA;NA
31;TRUE;"Água Santa";"430005";3717;1445;18;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";1481;NA;NA;NA;284936,06;284936,06;NA;286808,38;NA;NA;NA;NA;NA
30;TRUE;"Água Santa";"430005";3712;1443;19;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";1387;NA;NA;NA;328190,39;328190,39;NA;391102,54;NA;4555,8;NA;NA;NA
29;TRUE;"Água Santa";"430005";3838;1492;20;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";1417;NA;NA;NA;352981,54;352981,54;NA;363834,22;NA;NA;NA;NA;NA
28;TRUE;"Água Santa";"430005";3839;1492;21;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";1471;NA;NA;NA;398613,63;398613,63;NA;405587,98;NA;NA;NA;NA;NA
27;TRUE;"Água Santa";"430005";3840;1493;22;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";1514;NA;NA;NA;420867,58;420867,58;NA;423061,75;NA;NA;NA;NA;NA
26;TRUE;"Água Santa";"430005";3841;1493;23;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";1493;NA;NA;NA;482108,77;482108,77;NA;485876,46;NA;15266,53;NA;NA;NA
25;TRUE;"Água Santa";"430005";3841;1493;24;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";1493;NA;NA;NA;548629,44;548629,44;NA;553854,88;NA;NA;NA;NA;NA
24;TRUE;"Água Santa";"430005";3753;1459;25;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";1459;NA;NA;NA;582311,74;582311,74;NA;598537,74;NA;NA;NA;NA;NA
23;TRUE;"Água Santa";"430005";3748;1457;26;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";1457;NA;NA;NA;642366,4;642366,4;NA;656080,1;NA;NA;NA;NA;NA
22;TRUE;"Água Santa";"430005";3743;1455;27;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";1455;NA;NA;NA;720717,57;720717,57;NA;740419,29;NA;773277,82;NA;NA;NA
68;TRUE;"Agudo";"430010";16127;4998;5;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
67;TRUE;"Agudo";"430010";16070;4980;6;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
66;TRUE;"Agudo";"430010";17455;5655;7;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";5730;NA;NA;NA;NA;517511,73;NA;493191,95;NA;4814,97;NA;NA;NA
65;TRUE;"Agudo";"430010";17533;5680;8;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";5956;NA;NA;NA;258961,3;258961,3;NA;528130,82;NA;8126,01;NA;NA;NA
64;TRUE;"Agudo";"430010";17610;5705;9;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";6149;NA;NA;NA;642667,23;642667,23;NA;630679,5;NA;25643,14;NA;NA;NA
63;TRUE;"Agudo";"430010";17682;5729;10;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";6370;NA;NA;NA;764353,68;764353,68;NA;740348,56;NA;4352,69;NA;NA;NA
62;TRUE;"Agudo";"430010";17833;5777;11;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";6559;NA;NA;NA;888135,51;888135,51;NA;869904,73;NA;17857,46;NA;NA;NA
61;TRUE;"Agudo";"430010";17917;5805;12;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";6741;NA;NA;NA;993950,99;993950,99;NA;974992,85;NA;11028,9;53459,85;NA;NA
60;TRUE;"Agudo";"430010";18000;5832;13;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";6302;NA;NA;NA;1097525,23;1097525,23;NA;1155409,73;NA;12302,23;NA;NA;NA
59;TRUE;"Agudo";"430010";16714;6626;14;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";6499;NA;NA;NA;1192474,62;1192474,62;NA;1185505,02;NA;16321,2;NA;NA;NA
58;TRUE;"Agudo";"430010";17114;6785;15;"43149000";"Companhia Rio-Grandense de Saneamento";"Água";"Sociedade de economia mista com administração pública";6989;NA;NA;NA;1315072,12;1315072,12;NA;1321261,94;NA;51892,47;NA;NA;NA
