Municipio;POP_TOT;POP_URB;Ano_Ref;Prestador;Tipo_Serv;Nat_Jur;AG001;ES001;FN001;FN002;FN003;FN006;FN023;FN024
"Acegua";4036;964;2003;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";NA;NA;NA;NA;NA;NA;NA;NA
"Acegua";4109;981;2004;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";NA;NA;152699.73;152699.73;NA;145815.8;NA;NA
"Acegua";4149;991;2005;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";NA;NA;NA;NA;NA;NA;NA;NA
"Acegua";4188;1000;2006;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1134;NA;174276.8;174276.8;NA;193808.32;1591.38;NA
"Acegua";4138;988;2007;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1124;NA;178576.85;178576.85;NA;184375.67;1066.25;NA
"Acegua";4312;1030;2008;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1244;NA;222586.77;222586.77;NA;228514.25;2685.41;NA
"Acegua";4347;1038;2009;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1284;NA;235084.92;235084.92;NA;NA;2333.91;NA
"Acegua";4394;1059;2010;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1224;NA;249568.95;249568.95;NA;259633.51;2960.56;NA
"Acegua";4430;1068;2011;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1064;NA;269415.2;269415.2;NA;275668.95;NA;NA
"Acegua";4465;1076;2012;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1069;NA;312374.79;312374.79;NA;399945.55;19365.45;NA
"Acegua";4638;1118;2013;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1444;NA;357525.93;357525.93;NA;367224.53;NA;NA
"Acegua";4671;1126;2014;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1488;NA;444046.54;444046.54;NA;450548.75;NA;NA
"Acegua";4702;1133;2015;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1565;NA;455799.89;455799.89;NA;470837.99;NA;NA
"Acegua";4731;1140;2016;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1146;NA;560949.55;560949.55;NA;563503.16;12001.45;NA
"Acegua";4759;1147;2017;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1153;NA;626129.59;626129.59;NA;629782.96;45334.02;NA
"Acegua";4858;1171;2018;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1177;NA;659158.88;659158.88;NA;685539.49;3497.04;446983.8
"Acegua";4901;1181;2019;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1187;NA;713951.91;713951.91;NA;729790.4;6610;2961729.42
"Acegua";4942;1191;2020;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1197;NA;800641.21;800641.21;NA;819757.35;9727.87;698828.09
"Agua Santa";4392;1170;1998;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";NA;NA;NA;NA;NA;NA;NA;NA
"Agua Santa";4480;1194;1999;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";NA;NA;NA;NA;NA;NA;NA;NA
"Agua Santa";4127;1172;2000;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";NA;NA;NA;NA;NA;NA;NA;NA
"Agua Santa";3826;1087;2001;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";NA;NA;NA;NA;NA;NA;NA;NA
"Agua Santa";3852;1094;2002;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";NA;NA;NA;NA;NA;NA;NA;NA
"Agua Santa";3880;1102;2003;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";NA;NA;NA;NA;NA;NA;NA;NA
"Agua Santa";3940;1119;2004;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";NA;NA;NA;NA;NA;NA;NA;NA
"Agua Santa";3973;1128;2005;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";NA;NA;NA;NA;NA;NA;NA;NA
"Agua Santa";4006;1138;2006;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1075;NA;187002.76;187002.76;NA;205834.73;7554.56;NA
"Agua Santa";3565;1242;2007;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1149;NA;202109.4;202109.4;NA;204948.46;10186.99;NA
"Agua Santa";3638;1267;2008;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1204;NA;231108.81;231108.81;NA;240132.29;NA;NA
"Agua Santa";3619;1261;2009;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1323;NA;250918.77;250918.77;NA;NA;NA;NA
"Agua Santa";3722;1447;2010;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1260;NA;266138.26;266138.26;NA;274630.07;NA;NA
"Agua Santa";3717;1445;2011;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1481;NA;284936.06;284936.06;NA;286808.38;NA;NA
"Agua Santa";3712;1443;2012;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1387;NA;328190.39;328190.39;NA;391102.54;4555.8;NA
"Agua Santa";3838;1492;2013;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1417;NA;352981.54;352981.54;NA;363834.22;NA;NA
"Agua Santa";3839;1492;2014;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1471;NA;398613.63;398613.63;NA;405587.98;NA;NA
"Agua Santa";3840;1493;2015;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1514;NA;420867.58;420867.58;NA;423061.75;NA;NA
"Agua Santa";3841;1493;2016;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1493;NA;482108.77;482108.77;NA;485876.46;15266.53;NA
"Agua Santa";3841;1493;2017;"Companhia Rio-Grandense de Saneamento";"Agua";"Sociedade de economia mista com administracao publica";1493;NA;548629.44;548629.44;NA;553854.88;NA;NA
