Municipio;POP_TOT;POP_URB;Ano_Ref;Prestador;Tipo_Serv;Nat_Jur;AG001;ES001;FN001;FN002;FN003;FN006;FN007;FN023;FN024;FN038
"Alegrete";83896;73773;1998;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alegrete";84516;74318;1999;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alegrete";84338;75092;2000;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alegrete";85030;75708;2001;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alegrete";85527;76151;2002;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";73608;13971;6640061.6;5907887.48;732174.12;6386802.98;NA;489678.34;585609.81;NA
"Alegrete";86078;76641;2003;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";73978;13989;7697357.69;6837515.39;859842.3;7221951.17;NA;452125.59;1469742.74;NA
"Alegrete";87236;77672;2004;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";74885;14096;8807936.55;7901059.86;906876.69;8463818.69;NA;53440.12;3922795.03;NA
"Alegrete";87877;78243;2005;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";75681;14425;9706242.66;8962601.34;743641.32;9623647.4;NA;134078.59;1021384.43;NA
"Alegrete";88513;78809;2006;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";65349;12890;10555250.44;9733285.98;821964.46;11118069.45;NA;655224.74;NA;NA
"Alegrete";78188;69871;2007;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";66041;13008;10904290.74;10023710.53;880580.21;11010254.91;NA;209177.34;38165.91;NA
"Alegrete";79548;71086;2008;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";64164;12434;11974108.85;11038983.94;935124.91;12200372.02;NA;154321.34;NA;NA
"Alegrete";78984;70582;2009;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";64996;12515;12972079.51;11973720.84;998358.67;NA;NA;432289.21;14058.14;NA
"Alegrete";77653;69594;2010;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";59793;12319;13886420.71;12846604.26;1039816.45;14046255.06;NA;875696.87;19030.76;NA
"Alegrete";77140;69134;2011;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";69423;11775;15051786.33;13972008.34;1079777.99;15054138.9;NA;376075.59;2031.37;NA
"Alegrete";76644;68690;2012;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";62170;11920;16699665.01;15410529.03;1289135.98;17199969.14;NA;1228522.65;2218245.11;NA
"Alegrete";79054;70850;2013;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";64789;11954;17547306.78;16168994.14;1378312.64;17874331.07;NA;832229.13;522409.99;NA
"Alegrete";78768;70593;2014;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";66439;12139;19843305.24;18325889.54;1517415.7;19804273.96;NA;1222205.45;2991970.03;NA
"Alegrete";78499;70352;2015;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";69226;13749;21432440.68;19418657.28;2013783.4;20800645.38;NA;2032531.57;2207379.72;NA
"Alegrete";78244;70124;2016;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";69934;14634;24204199.1;22308954.15;1895244.95;24008659.09;NA;717809.45;1073724.81;NA
"Alegrete";78003;69908;2017;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";69908;14790;26583594.57;24422988.84;2160605.73;26506885.33;NA;740759.31;6408948.07;NA
"Alegrete";74173;66475;2018;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";66475;14884;27581034.48;25289941.83;2291092.65;28083575.56;NA;377110.42;3159711.64;NA
"Alegrete";73589;65952;2019;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";65952;14995;28547479.01;26171941.64;2375537.37;28902239.51;NA;531849.75;2148423.88;NA
"Alegrete";73028;65449;2020;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";65449;15228;30640902.25;28110362.15;2530540.1;30745490.06;NA;907068.38;1586798.08;NA
"Alvorada";162005;161885;1996;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";160000;29577;7506866.76;7113576.81;393289.95;7421477.22;NA;201550.82;14801.43;NA
"Alvorada";166982;166858;1997;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";167687;31;8676120;8142511;533609;8722612;NA;11980169;NA;NA
"Alvorada";171350;171223;1998;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";177313;31909;NA;7937501;587423;9489078;NA;6253119;92449;NA
"Alvorada";175574;175444;1999;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";175501;131842;NA;9951470.65;637373.15;9993655.62;NA;8330807.82;NA;NA
"Alvorada";183968;183365;2000;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";184666;33353;NA;10998076.5;807445.19;11205594.34;NA;289710.45;2021.98;NA
"Alvorada";188756;188137;2001;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";191885;NA;7618544.92;6852975;765569.92;12579095.3;NA;1045486.59;NA;NA
"Alvorada";192789;192157;2002;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";194479;33820;13932761.48;13034256.65;898504.83;14462199.76;NA;198521.63;NA;NA
"Alvorada";196882;196237;2003;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";198705;35265;16955674.05;15865771.61;1089902.44;16651246.62;NA;72988.77;NA;NA
"Alvorada";205476;204803;2004;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";201379;36195;18180754.93;17022705.27;1158049.66;19509091.73;NA;13071.16;NA;NA
"Alvorada";210233;209544;2005;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";203842;36330;20623130.46;19575026.46;1048104;21629500.88;NA;3228909.71;7332.79;NA
"Alvorada";214953;214248;2006;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";171302;31137;23899708.61;22596299.1;1303409.51;24879737.04;NA;3837835.85;33294.44;NA
"Alvorada";207142;206463;2007;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";173636;31760;27311591.27;25803927.56;1507663.71;28529095.87;NA;458238.46;1572.88;NA
"Alvorada";211276;210583;2008;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";176258;32698;31135496.56;29397317.61;1738178.95;32784859.57;NA;430551.87;223537.85;NA
"Alvorada";213894;213193;2009;"Companhia Rio-Grandense de Saneamento";"Agua e Esgoto";"Sociedade de economia mista com administracao publica";177605;32792;34456696.24;32445077.67;2011618.57;NA;NA;349965.36;27545600.82;NA
