Municipio;POP_TOT;POP_URB;Ano_Ref;Prestador;Tipo_Serv;Nat_Jur;AG001;ES001;FN001;FN002;FN003;FN006;FN007;FN023;FN024;FN038
"Bage";119194;97591;1998;"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";118999;49137;2733572.92;2733572.92;NA;3555975.58;NA;204753.54;27918.07;NA
"Bage";120793;98900;1999;"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";118999;95320;2799737.89;2519764.1;279973.79;4660715.5;NA;44206.33;27264.32;NA
"Bage";117009;95850;2002;"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";91432;44340;6417744;5253967;1163777;5533386;NA;36208;NA;NA
"Bage";118016;96675;2003;"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";106000;55000;10449771;9140776;1308995;6181290.99;NA;434761.04;NA;NA
"Bage";120129;98406;2004;"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";106000;61000;11408229.42;9923209.76;1485019.66;7435078.3;NA;246968.83;NA;NA
"Bage";121299;99364;2005;"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";114000;73704;6392907.15;5363308.78;1029598.37;9229433.4;NA;13500;12746.17;NA
"Bage";122461;100316;2006;"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";106000;55857;6637663.04;5468705.77;1168957.27;9929852.59;NA;NA;60840;NA
"Bage";112550;94398;2007;"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";106265;55997;7919042.59;6505087.94;1413954.65;12025891.49;NA;NA;1081760.28;NA
"Bage";115755;97086;2008;"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";97086;58047;9042849.37;7460654.65;1582194.72;14478067.76;NA;530855.24;685949.65;NA
"Bage";115745;97078;2009;"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";97078;58807;10185244;8443475;1741769;16055120;NA;NA;NA;NA
"Bage";116794;97765;2010;"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";97765;74552;12851655.08;10996066.05;1855589.03;17791181.35;NA;NA;648813.05;NA
"Bage";116944;97891;2011;"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";97891;74552;13659624.65;11578966.67;2080657.98;18657308.42;NA;55384.55;3829393.6;NA
"Bage";117090;98013;2012;"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";98013;71726;14366080.53;12149646.99;2216433.54;19322546.97;NA;NA;5502.76;NA
"Bage";121235;101482;2013;"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";101482;76424;25211922.52;22058948.47;3152974.05;51965281.67;NA;1425342.73;691405.66;NA
"Bage";121500;101704;2014;"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";101482;76424;25572470.85;21776379.28;3796091.57;46328573.41;NA;NA;821552.17;NA
"Bage";121749;101913;2015;"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";101607;76424;29610518.76;25520917.8;4089600.96;45743407.61;NA;NA;438375.78;NA
"Bage";121986;102111;2016;"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";102111;78064;34244199.82;29570904.47;4673295.35;94455528.42;NA;NA;735868.73;NA
"Bage";122209;102298;2017;"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";102111;78064;36685417.65;30989060.72;5696356.93;52546413.1;NA;NA;3619998.39;NA
"Bage";120943;101238;2018;"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";101238;77953;32675502.19;28538656.38;4136845.81;39178411.25;NA;556452.56;1776331.14;NA
"Bage";121143;101405;2019;"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";101405;82645;42367483;36527254.19;5840228.81;48582102.17;NA;3230663.76;450921.57;NA
"Bage";121335;101566;2020;"Departamento de Agua e Esgoto de Bage";"Agua e Esgoto";"Autarquia";101566;82776;39222260.8;32939206.47;6283054.33;44699978.16;NA;462105.63;NA;NA
"Caxias do Sul";313210;282466;1995;"Servico Autonomo Municipal de Agua e Esgoto";"Agua e Esgoto";"Autarquia";263000;1000;10039;10018;21;10413;NA;1659;550;NA
"Caxias do Sul";325694;293725;1996;"Servico Autonomo Municipal de Agua e Esgoto";"Agua e Esgoto";"Autarquia";287501;942;13338780.71;13309915.01;28865.7;13465746.38;NA;916655.18;501323.95;NA
"Caxias do Sul";360419;333391;2000;"Servico Autonomo Municipal de Agua e Esgoto";"Agua e Esgoto";"Autarquia";358125;9988;21789961;21576567;213394;21714477.29;NA;2279325;549633;NA
"Caxias do Sul";368776;341121;2001;"Servico Autonomo Municipal de Agua e Esgoto";"Agua e Esgoto";"Autarquia";373135;10487;25399027.44;25152997.92;246029.52;25021970.35;NA;2048569.79;1297237.38;NA
"Caxias do Sul";375118;346988;2002;"Servico Autonomo Municipal de Agua e Esgoto";"Agua e Esgoto";"Autarquia";389813;11758;27859024.43;27580803.92;278220.51;29281165.11;NA;2263119.64;372901.36;NA
"Caxias do Sul";381940;353298;2003;"Servico Autonomo Municipal de Agua e Esgoto";"Agua e Esgoto";"Autarquia";371582;11125;29778777.97;29432215.05;346562.92;35080631.36;NA;1597898.8;452954.32;NA
"Caxias do Sul";396261;366545;2004;"Servico Autonomo Municipal de Agua e Esgoto";"Agua e Esgoto";"Autarquia";385553;18216;34240051.32;33842643.71;397407.61;47179213.03;NA;3130991.32;1202124.83;NA
"Caxias do Sul";404187;373877;2005;"Servico Autonomo Municipal de Agua e Esgoto";"Agua e Esgoto";"Autarquia";397000;36750;37287608.39;36772111.94;515496.45;53857901.42;NA;3163426.13;1674688.09;NA
"Caxias do Sul";412053;381153;2006;"Servico Autonomo Municipal de Agua e Esgoto";"Agua e Esgoto";"Autarquia";403619;349265;49103947.33;39800804.49;9303142.84;57844681.06;NA;1901514.31;6079030.25;NA
"Caxias do Sul";399038;369114;2007;"Servico Autonomo Municipal de Agua e Esgoto";"Agua e Esgoto";"Autarquia";428962;369114;53548348;43586118;9962230;64038371;NA;3418758.95;9539826.8;NA
"Caxias do Sul";405858;375423;2008;"Servico Autonomo Municipal de Agua e Esgoto";"Agua e Esgoto";"Autarquia";399958;323452;59497836;48416334;11081502;68189224;NA;5409286.68;21904671.82;NA
"Caxias do Sul";410166;379408;2009;"Servico Autonomo Municipal de Agua e Esgoto";"Agua e Esgoto";"Autarquia";404096;335412;66688953;54531327;12157626;74759790;NA;24340973;26071642;NA
"Caxias do Sul";435564;419406;2010;"Servico Autonomo Municipal de Agua e Esgoto";"Agua e Esgoto";"Autarquia";435564;338879;84072927.38;68850426.98;15222500.4;92464614.38;NA;39644271.28;24309912.85;NA
"Caxias do Sul";441332;424960;2011;"Servico Autonomo Municipal de Agua e Esgoto";"Agua e Esgoto";"Autarquia";440235;340125;97114109.6;80028448.53;17085661.07;114463848.69;NA;122089193.57;33528934.74;NA
"Caxias do Sul";446911;430332;2012;"Servico Autonomo Municipal de Agua e Esgoto";"Agua e Esgoto";"Autarquia";445793;344121;108964595.6;89289105.22;19675490.38;129594036.57;NA;68615998.29;24720631.75;NA
"Caxias do Sul";465304;448043;2013;"Servico Autonomo Municipal de Agua e Esgoto";"Agua e Esgoto";"Autarquia";441471;409745;129249300.84;103789536.57;25459764.27;143725352.83;NA;16427388.45;16423823.01;NA
"Caxias do Sul";470223;452779;2014;"Servico Autonomo Municipal de Agua e Esgoto";"Agua e Esgoto";"Autarquia";460922;427042;149332380.3;115622134.45;33710245.85;176354559.93;NA;10770644.34;7062579.08;NA
"Caxias do Sul";474853;457238;2015;"Servico Autonomo Municipal de Agua e Esgoto";"Agua e Esgoto";"Autarquia";467730;432496;162423788.95;122523078.88;39900710.07;198439604;NA;28799515.53;4401490;NA
"Caxias do Sul";479236;461458;2016;"Servico Autonomo Municipal de Agua e Esgoto";"Agua e Esgoto";"Autarquia";468459;432702;180982551.33;135639547.85;45343003.48;210483982.61;NA;7107499.03;3175946.06;NA
"Caxias do Sul";483377;465445;2017;"Servico Autonomo Municipal de Agua e Esgoto";"Agua e Esgoto";"Autarquia";476204;439777;195800166.85;145905588.81;49894578.04;229040209.44;NA;12008822.17;3455026.07;NA
"Caxias do Sul";504069;485370;2018;"Servico Autonomo Municipal de Agua e Esgoto";"Agua e Esgoto";"Autarquia";496590;447898;207383015.65;154151763.85;53231251.8;237893133.3;NA;10564269.08;2428443.77;NA
"Caxias do Sul";510906;491953;2019;"Servico Autonomo Municipal de Agua e Esgoto";"Agua e Esgoto";"Autarquia";505255;454616;222251144.03;165553524.39;56697619.64;230223645.31;NA;5378573.11;6802316.83;NA
"Caxias do Sul";517451;498255;2020;"Servico Autonomo Municipal de Agua e Esgoto";"Agua e Esgoto";"Autarquia";506253;460299;227575687.48;169820294.76;57755392.72;233663831.75;NA;18416928.58;6348539.49;NA
"Ivoti";23880;21703;2018;"Agua de Ivoti";"Agua e Esgoto";"Autarquia";23880;2395;6595301.08;6595301.08;NA;7156660.45;NA;168000;NA;NA
"Ivoti";24293;22078;2019;"Agua de Ivoti";"Agua e Esgoto";"Autarquia";24293;1474;7179216.41;7179216.41;NA;7747882.91;NA;75043.59;NA;NA
