Municipio;POP_TOT;POP_URB;Ano_Ref;Prestador;Tipo_Serv;Nat_Jur;AG001;ES001;FN001;FN002;FN003;FN006;FN007;FN023;FN024;FN038
"Acegua";4731;1140;2016;"Prefeitura Municipal de Acegua";"Esgoto";"Administracao publica direta";NA;1140;NA;NA;NA;NA;NA;NA;NA;NA
"Acegua";4858;1171;2018;"Prefeitura Municipal de Acegua";"Esgoto";"Administracao publica direta";NA;580;NA;NA;NA;NA;NA;NA;NA;NA
"Acegua";4901;1181;2019;"Prefeitura Municipal de Acegua";"Esgoto";"Administracao publica direta";NA;640;NA;NA;NA;NA;NA;NA;NA;NA
"Agua Santa";3722;1447;2010;"Prefeitura Municipal de Agua Santa";"Esgoto";"Administracao publica direta";NA;1447;950;NA;950;950;NA;NA;NA;NA
"Alegria";4775;1639;2009;"Prefeitura Municipal de Alegria";"Agua";"Administracao publica direta";4775;NA;227239;227239;NA;227239;NA;NA;NA;NA
"Alegria";4301;1585;2010;"Prefeitura Municipal de Alegria";"Agua";"Administracao publica direta";4301;NA;284830.83;284830.83;NA;284830.83;NA;94231.98;NA;NA
"Alegria";4141;1526;2012;"Prefeitura Municipal de Alegria";"Agua";"Administracao publica direta";4141;NA;313884.51;313884.51;NA;376903.69;NA;NA;NA;NA
"Alegria";4244;1564;2013;"Prefeitura Municipal de Alegria";"Agua";"Administracao publica direta";4141;NA;313473.32;313473.32;NA;64015.22;NA;NA;NA;NA
"Alegria";4188;1543;2014;"Prefeitura Municipal de Alegria";"Agua";"Administracao publica direta";4188;NA;371676.51;371676.51;NA;24093.51;NA;NA;NA;NA
"Alegria";4135;1524;2015;"Prefeitura Municipal de Alegria";"Agua";"Administracao publica direta";4135;NA;409019.8;409019.8;NA;11200.07;NA;NA;NA;NA
"Alegria";3559;1312;2018;"Prefeitura Municipal de Alegria";"Agua";"Administracao publica direta";3510;NA;464179;464179;NA;460729.24;NA;NA;NA;NA
"Alegria";3464;1277;2019;"Prefeitura Municipal de Alegria";"Agua";"Administracao publica direta";3464;NA;561546.66;561546.66;NA;561546.66;NA;NA;NA;NA
"Alegria";3374;1243;2020;"Prefeitura Municipal de Alegria";"Agua";"Administracao publica direta";3374;NA;591391;591391;NA;591391;NA;NA;NA;NA
"Almirante Tamandare do Sul";2085;846;2016;"Prefeitura Municipal de Almirante Tamandare do Sul";"Agua";"Administracao publica direta";2085;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Almirante Tamandare do Sul";2079;844;2017;"Prefeitura Municipal de Almirante Tamandare do Sul";"Agua";"Administracao publica direta";2065;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Almirante Tamandare do Sul";1979;803;2018;"Prefeitura Municipal de Almirante Tamandare do Sul";"Agua";"Administracao publica direta";1979;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Almirante Tamandare do Sul";1964;797;2019;"Prefeitura Municipal de Almirante Tamandare do Sul";"Agua";"Administracao publica direta";1964;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Almirante Tamandare do Sul";1949;791;2020;"Prefeitura Municipal de Almirante Tamandare do Sul";"Agua";"Administracao publica direta";1949;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alto Feliz";2869;721;2006;"Prefeitura Municipal de Alto Feliz";"Agua";"Administracao publica direta";2342;NA;116469.23;116469.23;NA;116469.23;NA;216833.37;NA;NA
