Municipio;POP_TOT;POP_URB;Ano_Ref;Prestador;Tipo_Serv;Nat_Jur;AG001;ES001;FN001;FN002;FN003;FN006;FN007;FN023;FN024;FN038
"Alto Feliz";2930;820;2012;"Prefeitura Municipal de Alto Feliz";"Agua e Esgoto";"Administracao publica direta";2300;820;262544.51;262544.51;NA;262544.51;NA;NA;NA;NA
"Anta Gorda";6285;1809;2002;"Prefeitura Municipal de Anta Gorda";"Agua e Esgoto";"Administracao publica direta";2847;NA;NA;151003.27;NA;151003.27;NA;12117.1;NA;NA
"Anta Gorda";6266;1803;2003;"Prefeitura Municipal de Anta Gorda";"Agua e Esgoto";"Administracao publica direta";2864;NA;184649.31;184649.31;NA;184649.31;NA;17025.24;NA;NA
"Boa Vista das Missoes";2100;699;2009;"Prefeitura Municipal de Boa Vista das Missoes";"Agua e Esgoto";"Administracao publica direta";2007;548;NA;NA;NA;NA;NA;NA;NA;NA
"Bom Principio";10989;8039;2006;"Prefeitura Municipal de Bom Principio";"Agua e Esgoto";"Administracao publica direta";8550;NA;370019.02;370019.02;NA;370019.02;NA;NA;NA;NA
"Candiota";8826;2614;2011;"Prefeitura Municipal de Candiota";"Agua e Esgoto";"Administracao publica direta";7943;2614;464443.29;371442.58;93000.71;472147;NA;NA;NA;NA
"Candiota";8878;2630;2012;"Prefeitura Municipal de Candiota";"Agua e Esgoto";"Administracao publica direta";5000;5000;464443.29;371442.58;93000.71;472147;NA;NA;NA;NA
"Candiota";9406;2786;2017;"Prefeitura Municipal de Candiota";"Agua e Esgoto";"Administracao publica direta";2700;1400;941400;691200;250200;1241200;NA;NA;NA;NA
"Candiota";9519;2820;2018;"Prefeitura Municipal de Candiota";"Agua e Esgoto";"Administracao publica direta";2700;1400;945200;695000;250200;1241200;NA;NA;NA;NA
"Candiota";9584;2839;2019;"Prefeitura Municipal de Candiota";"Agua e Esgoto";"Administracao publica direta";2700;1400;958000;698000;260000;1280000;NA;NA;NA;NA
"Candiota";9647;2857;2020;"Prefeitura Municipal de Candiota";"Agua e Esgoto";"Administracao publica direta";3200;1400;970000;700000;270000;1300000;NA;NA;NA;NA
"Capao Bonito do Sul";1776;505;2014;"Prefeitura Municipal de Capao Bonito do Sul";"Agua e Esgoto";"Administracao publica direta";1598;1100;NA;NA;NA;NA;NA;NA;NA;NA
"Capao Bonito do Sul";1770;504;2015;"Prefeitura Municipal de Capao Bonito do Sul";"Agua e Esgoto";"Administracao publica direta";1598;1100;NA;NA;NA;NA;NA;NA;NA;NA
"Capao Bonito do Sul";1764;502;2016;"Prefeitura Municipal de Capao Bonito do Sul";"Agua e Esgoto";"Administracao publica direta";1598;1100;67500;2500;2500;60000;60000;NA;NA;2500
"Capao Bonito do Sul";1758;500;2017;"Prefeitura Municipal de Capao Bonito do Sul";"Agua e Esgoto";"Administracao publica direta";1598;1100;67500;2500;2500;60000;60000;NA;NA;2500
"Capao Bonito do Sul";1668;475;2018;"Prefeitura Municipal de Capao Bonito do Sul";"Agua e Esgoto";"Administracao publica direta";1668;1100;119700;119700;NA;119700;NA;NA;NA;NA
"Capao Bonito do Sul";1654;471;2019;"Prefeitura Municipal de Capao Bonito do Sul";"Agua e Esgoto";"Administracao publica direta";1654;1100;112812.67;112812.67;NA;112812.67;NA;NA;NA;NA
"Capao Bonito do Sul";1641;467;2020;"Prefeitura Municipal de Capao Bonito do Sul";"Agua e Esgoto";"Administracao publica direta";1641;1641;95500;95500;NA;95500;NA;NA;NA;NA
"Capitao";2636;1147;2010;"Prefeitura Municipal de Capitao";"Agua e Esgoto";"Administracao publica direta";2539;150;164419;164419;NA;181809;NA;1000;45000;NA
"Capitao";2642;1150;2011;"Prefeitura Municipal de Capitao";"Agua e Esgoto";"Administracao publica direta";2642;320;175000;175000;NA;202500;NA;NA;NA;NA
"Capitao";2647;1152;2012;"Prefeitura Municipal de Capitao";"Agua e Esgoto";"Administracao publica direta";2642;320;200000;200000;NA;204700;NA;NA;NA;NA
"Capitao";2741;1193;2013;"Prefeitura Municipal de Capitao";"Agua e Esgoto";"Administracao publica direta";2741;340;225000;225000;NA;226000;NA;NA;NA;NA
"Capitao";2749;1196;2014;"Prefeitura Municipal de Capitao";"Agua e Esgoto";"Administracao publica direta";2749;350;246352;246352;NA;250000;NA;NA;NA;NA
"Capitao";2756;1199;2015;"Prefeitura Municipal de Capitao";"Agua e Esgoto";"Administracao publica direta";2749;350;221200;221200;NA;210000;NA;NA;NA;NA
"Capitao";2763;1202;2016;"Prefeitura Municipal de Capitao";"Agua e Esgoto";"Administracao publica direta";2763;350;276000;276000;NA;276000;NA;NA;NA;NA
"Capitao";2769;1205;2017;"Prefeitura Municipal de Capitao";"Agua e Esgoto";"Administracao publica direta";2769;350;331366;331366;NA;331366;NA;NA;NA;NA
"Capitao";2750;1197;2018;"Prefeitura Municipal de Capitao";"Agua e Esgoto";"Administracao publica direta";2750;350;400040;400040;NA;400040;NA;NA;NA;NA
"Capitao";2757;1200;2019;"Prefeitura Municipal de Capitao";"Agua e Esgoto";"Administracao publica direta";2750;350;424616.47;424616.47;NA;424616.47;NA;NA;NA;NA
"Capitao";2763;1202;2020;"Prefeitura Municipal de Capitao";"Agua e Esgoto";"Administracao publica direta";2750;350;460779.13;460769.13;10;460769.13;NA;NA;NA;NA
"Centenario";2965;949;2010;"Prefeitura Municipal de Centenario";"Agua e Esgoto";"Administracao publica direta";2935;420;58728.18;58728.18;NA;58728.18;NA;114900.29;NA;NA
"Centenario";2953;945;2011;"Prefeitura Municipal de Centenario";"Agua e Esgoto";"Administracao publica direta";2953;440;64462.1;64462.1;NA;64462.1;NA;NA;NA;NA
"Cerro Grande";2311;794;2019;"Prefeitura Municipal de Cerro Grande";"Agua e Esgoto";"Administracao publica direta";794;794;206806.14;206806.14;NA;206806.14;NA;NA;NA;NA
"Cerro Grande";2296;788;2020;"Prefeitura Municipal de Cerro Grande";"Agua e Esgoto";"Administracao publica direta";788;788;229797.11;229797.11;NA;229797.11;NA;NA;NA;NA
"Coronel Pilar";1754;177;2013;"Prefeitura Municipal de Coronel Pilar";"Agua e Esgoto";"Administracao publica direta";440;177;28368;28368;NA;26000;NA;NA;NA;NA
"Coronel Pilar";1747;176;2014;"Prefeitura Municipal de Coronel Pilar";"Agua e Esgoto";"Administracao publica direta";440;176;29599;29599;NA;27000;NA;NA;NA;NA
"Coronel Pilar";1740;176;2015;"Prefeitura Municipal de Coronel Pilar";"Agua e Esgoto";"Administracao publica direta";446;176;29869;29869;NA;29000;NA;NA;NA;NA
"Coronel Pilar";1734;175;2016;"Prefeitura Municipal de Coronel Pilar";"Agua e Esgoto";"Administracao publica direta";460;190;32180;32180;NA;31900;NA;NA;NA;NA
"Coronel Pilar";1728;174;2017;"Prefeitura Municipal de Coronel Pilar";"Agua e Esgoto";"Administracao publica direta";465;195;40492.5;40492.5;NA;40492.5;NA;NA;NA;NA
"Coronel Pilar";1641;166;2018;"Prefeitura Municipal de Coronel Pilar";"Agua e Esgoto";"Administracao publica direta";465;195;43029.5;43029.5;NA;43029.5;NA;NA;NA;NA
"Coronel Pilar";1628;164;2019;"Prefeitura Municipal de Coronel Pilar";"Agua e Esgoto";"Administracao publica direta";474;204;47602.5;47602.5;NA;47602.5;NA;NA;NA;NA
"Coronel Pilar";1614;163;2020;"Prefeitura Municipal de Coronel Pilar";"Agua e Esgoto";"Administracao publica direta";480;210;52650;52650;NA;52650;NA;NA;NA;NA
"Cruzaltense";2141;489;2010;"Prefeitura Municipal de Cruzaltense";"Agua e Esgoto";"Administracao publica direta";489;120;40890;40890;NA;40890;NA;NA;NA;NA
"Cruzaltense";2110;482;2011;"Prefeitura Municipal de Cruzaltense";"Agua e Esgoto";"Administracao publica direta";482;120;30664.08;30664.08;NA;30664.08;NA;NA;NA;NA
"Cruzaltense";2080;475;2012;"Prefeitura Municipal de Cruzaltense";"Agua e Esgoto";"Administracao publica direta";475;120;42436.05;42436.05;NA;42436.05;NA;NA;NA;NA
"Cruzaltense";2136;488;2013;"Prefeitura Municipal de Cruzaltense";"Agua e Esgoto";"Administracao publica direta";488;120;59463.46;59463.46;NA;59463.46;NA;NA;NA;NA
"Cruzaltense";2115;483;2014;"Prefeitura Municipal de Cruzaltense";"Agua e Esgoto";"Administracao publica direta";483;120;62702.12;62702.12;NA;62702.12;NA;NA;NA;NA
"Cruzaltense";2096;479;2015;"Prefeitura Municipal de Cruzaltense";"Agua e Esgoto";"Administracao publica direta";479;120;64032.84;64032.84;NA;64032.84;NA;NA;NA;NA
"Cruzaltense";2077;474;2016;"Prefeitura Municipal de Cruzaltense";"Agua e Esgoto";"Administracao publica direta";474;120;75132.88;75132.88;NA;94130.26;NA;NA;NA;NA
"Cruzaltense";2059;470;2017;"Prefeitura Municipal de Cruzaltense";"Agua e Esgoto";"Administracao publica direta";474;120;90005.5;90005.5;NA;90005.5;NA;NA;NA;NA
"Cruzaltense";1870;427;2018;"Prefeitura Municipal de Cruzaltense";"Agua e Esgoto";"Administracao publica direta";427;120;108625;108625;NA;108625;NA;NA;NA;NA
"Cruzaltense";1833;419;2019;"Prefeitura Municipal de Cruzaltense";"Agua e Esgoto";"Administracao publica direta";419;120;125791.22;125791.22;NA;125791.22;NA;NA;NA;NA
"Cruzaltense";1799;411;2020;"Prefeitura Municipal de Cruzaltense";"Agua e Esgoto";"Administracao publica direta";411;120;140030.56;140030.56;NA;140030.56;NA;NA;NA;NA
"Dezesseis de Novembro";2923;614;2009;"Prefeitura Municipal de Dezesseis de Novembro";"Agua e Esgoto";"Administracao publica direta";2923;2923;NA;102334;NA;102334;NA;8000;NA;NA
"Dom Pedro de Alcantara";2618;761;2016;"Prefeitura Municipal de Dom Pedro de Alcantara";"Agua e Esgoto";"Administracao publica direta";761;14;45580;45580;NA;NA;NA;NA;NA;NA
"Dom Pedro de Alcantara";2617;760;2017;"Prefeitura Municipal de Dom Pedro de Alcantara";"Agua e Esgoto";"Administracao publica direta";761;14;46780;46780;NA;NA;NA;NA;NA;NA
"Dom Pedro de Alcantara";2541;738;2018;"Prefeitura Municipal de Dom Pedro de Alcantara";"Agua e Esgoto";"Administracao publica direta";1980;14;360000;360000;NA;360000;NA;NA;NA;NA
"Dom Pedro de Alcantara";2534;736;2019;"Prefeitura Municipal de Dom Pedro de Alcantara";"Agua e Esgoto";"Administracao publica direta";1991;16;365500;365500;NA;365500;NA;NA;NA;NA
"Doutor Ricardo";2030;693;2010;"Prefeitura Municipal de Doutor Ricardo";"Agua e Esgoto";"Administracao publica direta";2030;150;55500;55500;NA;63500;NA;3500;NA;NA
"Doutor Ricardo";2023;691;2011;"Prefeitura Municipal de Doutor Ricardo";"Agua e Esgoto";"Administracao publica direta";2023;150;69600;69600;NA;69600;NA;NA;NA;NA
"Doutor Ricardo";2016;688;2012;"Prefeitura Municipal de Doutor Ricardo";"Agua e Esgoto";"Administracao publica direta";2010;150;71500;71500;NA;71500;NA;NA;NA;NA
"Doutor Ricardo";2082;711;2013;"Prefeitura Municipal de Doutor Ricardo";"Agua e Esgoto";"Administracao publica direta";680;150;116718;116718;NA;116718;NA;NA;NA;NA
"Doutor Ricardo";2079;710;2014;"Prefeitura Municipal de Doutor Ricardo";"Agua e Esgoto";"Administracao publica direta";685;150;129177;129177;NA;129177;NA;NA;NA;NA
"Doutor Ricardo";2076;709;2015;"Prefeitura Municipal de Doutor Ricardo";"Agua e Esgoto";"Administracao publica direta";690;150;132000;132000;NA;132000;NA;NA;NA;NA
"Doutor Ricardo";2074;708;2016;"Prefeitura Municipal de Doutor Ricardo";"Agua e Esgoto";"Administracao publica direta";685;150;158822;158822;NA;158822;NA;NA;NA;NA
"Doutor Ricardo";2071;707;2017;"Prefeitura Municipal de Doutor Ricardo";"Agua e Esgoto";"Administracao publica direta";688;150;165595.11;165595.11;NA;165595.11;NA;NA;NA;NA
"Doutor Ricardo";1994;681;2018;"Prefeitura Municipal de Doutor Ricardo";"Agua e Esgoto";"Administracao publica direta";681;150;179112.46;179112.46;NA;179112.46;NA;NA;NA;NA
"Doutor Ricardo";1983;677;2019;"Prefeitura Municipal de Doutor Ricardo";"Agua e Esgoto";"Administracao publica direta";677;150;203715;203715;NA;203715;NA;NA;NA;NA
"Doutor Ricardo";1975;674;2020;"Prefeitura Municipal de Doutor Ricardo";"Agua e Esgoto";"Administracao publica direta";674;150;228000;228000;NA;228000;NA;NA;NA;NA
"Floriano Peixoto";2155;251;2009;"Prefeitura Municipal de Floriano Peixoto";"Agua e Esgoto";"Administracao publica direta";1951;251;NA;18130;NA;18130;NA;22174;NA;NA
"Floriano Peixoto";2018;292;2010;"Prefeitura Municipal de Floriano Peixoto";"Agua e Esgoto";"Administracao publica direta";2007;305;21091.47;21091.47;NA;21091.47;NA;25000;5000;NA
"Hulha Negra";6448;2807;2009;"Prefeitura Municipal de Hulha Negra";"Agua e Esgoto";"Administracao publica direta";3240;2600;73928;73928;NA;73928;NA;27000;130000;NA
