obs;Ano;Pop_Total;AG001_Pop_Total_Agua;AG001A_Pop_Total_Agua_Anterior;ES001_Pop_Total_Esgoto;ES001A_Pop_Total_Esgoto_Anterio;FN001_ROD_Total;FN002_ROD_Agua;FN003_ROD_Esgoto;FN023_Invest_Agua_Prestador;FN024_Invest_Esgoto_Prestador;PIB
1995;1995;2106612;2073000;NA;1152000;NA;126956775;104080377;22876398;15051835;9351714;49879354698.0118
1996;1996;2102857;2055296;2073000;1202065;1152000;161540160;132676821;28863339;16324754;12499107;58807374755.3001
1997;1997;1878089;550075;1767795;226199;1201123;27684599;21678023;6006576;2764096;1958632;64991308693.4874
1998;1998;2034283;52301;550075;290197;226199;27295557;20036996;7258562;69951;582364;67673124643.3038
1999;1999;2052257;712063;52301;358113;290197;33637355;26591236;7046119;2361972;698287;74015781625.9571
2000;2000;2356190;2281036;593064;1359013;262793;206602084;165573180;41028904;20490926;13381602;81814713665.2573
2001;2001;2393755;2387120;2281036;1415927;1359013;201941667;161108358;40833309;14957343;19105796;92310078327.8392
2002;2002;2543289;2496671;2387120;1508108;1415927;288511514;233776225;54886292;16427114;11849180;98847210893.7326
2003;2003;2806858;2706409;2488871;1484746;1508108;349167293;275386220;70672699;23381283;13018441;119325398659.762
2004;2004;2873165;2779849;2706409;1543203;1484746;388060102;307608100;78428932;27794623;10823603;131192206296.163
2005;2005;2914602;2853609;2776649;1614217;1543203;420578498;331430481;86887693;23514044;8216931;136362768609.612
2006;2006;2970783;2893514;2853609;1912630;1612821;450347360;348475276;100583306;38962241;16804484;147622599258.415
2007;2007;2910820;2896707;2891172;1906791;1912630;468052978;362162225;105186111;45565369;33573195;168009752060.17
2008;2008;3001422;2915281;2893961;1889345;1906791;507283942;391548812;113792947;36531859;61894411;190229822441.716
2009;2009;3567442;3119675;2896223;2243540;1889297;555677725;426614781;123669696;57429493;90571927;204344940205.049
2010;2010;3475969;3079150;3060614;2029108;2156180;615255904;471812595;137932113;77983050;153489332;241249163902.15
2011;2011;3716796;3214166;3018538;2098310;1985026;693277099;534215570;153017888;153327969;212820423;265056416291.245
2012;2012;4089840;3267687;3157817;2298038;2083681;768027467;592336939;169433273;118669239;215592422;287587018680.027
2013;2013;4296198;3417130;3225617;2539464;2198923;872415665;671005524;195211241;65629234;118995944;332292726075.404
2014;2014;4191519;3497471;3400819;2471296;2364594;977229503;750330152;224948182;49448296;68565880;357816423826.502
2015;2015;4088608;3500360;3459152;2513415;2401248;1122916738;839376504;281631534;72241922;38329645;381992601117.9
2016;2016;4235815;3578332;3474465;2542603;2397243;1136872919;867456620;267608021;69998901;61591035;408789528052.045
2017;2017;4303887;3560580;3525406;2606022;2467302;1230492747;927268209;301355993;77588929;51996265;423270047301.93
2018;2018;4352348;3596006;3545034;2676727;2565528;1275035809;950266021;322759865;58353153;40869546;457293957587.09
2019;2019;4333851;3663407;3580889;2637345;2571132;1384854553;1052075750;330583381;79108133;52007350;482464177470.65
2020;2020;4442352;3686959;3656586;2701255;2620735;1375062029;1034975108;337820578;83369277;73273169;480173304766.942
