"";"Ano";"INPC";"IPCA";"IGPM";"INCC"
"1";1995;5,04226565;" 4,91817381 ";" 8,88988447 ";" 6,93768446 "
"2";1996;4,62084462;" 4,48902319 ";" 8,14091985 ";" 6,33231513 "
"3";1997;4,42864157;" 4,26632123 ";" 7,55607931 ";" 5,92857891 "
"4";1998;4,32104749;" 4,19706958 ";" 7,42393329 ";" 5,76990648 "
"5";1999;3,98510328;" 3,85264327 ";" 6,18145986 ";" 5,28331332 "
"6";2000;3,78560205;" 3,63559807 ";" 5,62206445 ";" 4,90740602 "
"7";2001;3,4590662;" 3,37661193 ";" 5,09337240 ";" 4,50841159 "
"8";2002;3,0146995;" 3,00063266 ";" 4,06461766 ";" 3,99434003 "
"9";2003;2,73120085;" 2,74531808 ";" 3,73895471 ";" 3,49094567 "
"10";2004;2,57344846;" 2,55141085 ";" 3,32617624 ";" 3,14442953 "
"11";2005;2,44973675;" 2,41405133 ";" 3,28641067 ";" 2,94312012 "
"12";2006;2,38278062;" 2,34055782 ";" 3,16518412 ";" 2,80190415 "
"13";2007;2,26586213;" 2,24062590 ";" 2,93752586 ";" 2,63957056 "
"14";2008;2,1279697;" 2,11579405 ";" 2,67509868 ";" 2,35949813 "
"15";2009;2,04396282;" 2,02837125 ";" 2,72191563 ";" 2,28522821 "
"16";2010;1,9197547;" 1,91518388 ";" 2,44512723 ";" 2,12046786 "
"17";2011;1,80972351;" 1,79829473 ";" 2,32647691 ";" 1,97271175 "
"18";2012;1,7040711;" 1,69906909 ";" 2,15774152 ";" 1,84159051 "
"19";2013;1,61431517;" 1,60425747 ";" 2,04505878 ";" 1,70375660 "
"20";2014;1,51964151;" 1,50761909 ";" 1,97228159 ";" 1,59304030 "
"21";2015;1,36560164;" 1,36226538 ";" 1,78422434 ";" 1,48217370 "
"22";2016;1,28129259;" 1,28164961 ";" 1,66485429 ";" 1,39669591 "
"23";2017;1,25530772;" 1,24492435 ";" 1,67355679 ";" 1,33975627 "
"24";2018;1,21367855;" 1,19992708 ";" 1,55621795 ";" 1,29021213 "
"25";2019;1,1616372;" 1,15034712 ";" 1,45034292 ";" 1,23880185 "
"26";2020;1,1016;" 1,10060000 ";" 1,17780000 ";" 1,13850000 "
"27";2021;1;" 1,00000000 ";" 1,00000000 ";" 1,00000000 "
