Data;Deflator_Implicito_PIB
1900;-13.29113924
1901;-17.76155718
1902;-7.692307692
1903;1.923076923
1904;5.974842767
1905;-10.38575668
1906;21.85430464
1907;-5.163043478
1908;2.29226361
1909;-1.75
1910;4.325699746
1911;2.195121951
1912;7.398568019
1913;-11.11111111
1914;-13.25
1915;13.25648415
1916;20.86513995
1917;8.842105263
1918;8.3172147
1919;8.75
1920;19.04761905
1921;-15.31034483
1922;9.120521173
1923;30.14925373
1924;11.00917431
1925;18.38842975
1926;-18.06282723
1927;-2.236421725
1928;11.54684096
1929;-3.61328125
1930;-12.36068896
1931;-10.86705202
1932;1.556420233
1933;-2.043422733
1934;6.258148631
1935;4.785276074
1936;1.639344262
1937;9.447004608
1938;3.157894737
1939;2.040816327
1940;6.7
1941;10.21555764
1942;16.2414966
1943;16.60570593
1944;20.63989962
1945;14.92459698
1946;14.57013575
1947;8.938969765
1948;5.916568998
1949;8.295749918
1950;8.961049618
1951;18.11976898
1952;9.60224698
1953;13.97519881
1954;27.19806095
1955;11.56214944
1956;22.73264002
1957;12.71288545
1958;12.36425964
1959;35.8564827
1960;25.415622
1961;34.61780383
1962;50.24945741
1963;78.41743186
1964;89.53366603
1965;58.93318497
1966;37.93609777
1967;26.52894169
1968;26.70671651
1969;20.05178403
1970;16.25511161
1971;19.38458508
1972;19.86709173
1973;29.58035669
1974;34.60585501
1975;33.92943674
1976;41.20362401
1977;45.39805623
1978;38.22761122
1979;54.36596002
1980;92.14194462
1981;100.5288771
1982;101.0343947
1983;131.4840451
1984;201.7402821
1985;248.5436591
1986;149.1793183
1987;206.2087087
1988;627.9514702
1989;1304.424209
1990;2736.970678
1991;416.6780877
1992;969.0129218
1993;1996.15035
1994;2240.168869
1995;93.97804304
1996;18.45624378
1997;7.72902341
1998;4.924361587
1999;8.010500877
2000;5.606065153
2001;8.225094316
2002;9.798112234
2003;14.09102153
2004;7.752060759
2005;7.431224755
2006;6.774274119
2007;6.439038089
2008;8.778552722
2009;7.313482746
2010;8.423338336
2011;8.318592219
2012;7.943126942
2013;7.504564532
2014;7.846709743
2015;7.566175013
2016;8.103604357
2017;3.671384513
2018;4.493534332
2019;4.22425887
2020;5.140222397
2021;11.09637043
